SpT,PS1gmag,e_PS1gmag,PS1rmag,PS1imag,e_PS1imag,PS1zmag,e_PS1zmag,PS1ymag,e_PS1ymag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,label
L2,,,,20.75,0.06,19.35,0.02,18.36,0.01,16.3,0.11,15.41,0.1,14.74,0.1,14.44,0.03,14.25,0.05,12.28,,9.02,,true
L1,,,21.12,18.68,0.01,17.17,0.01,16.16,0.01,14.35,0.03,13.58,0.04,13.16,0.04,12.75,0.02,12.49,0.02,12.15,0.28,8.79,,true
L3,,,,22.15,0.06,20.82,0.06,19.65,0.03,,,,,,,14.84,0.03,14.62,0.06,12.31,,8.74,,true
T5,,,,,,,,20.41,0.06,,,,,,,18.23,0.29,16.0,0.15,12.23,,9.22,,true
L3,,,22.64,20.12,0.01,18.69,0.01,17.68,0.02,15.58,0.06,14.65,0.04,13.88,0.04,13.37,0.03,13.0,0.03,12.4,0.34,9.42,,true
L4pec(red),,,,20.71,0.02,19.39,0.01,18.46,0.02,16.37,0.11,15.25,0.08,14.66,0.08,14.0,0.03,13.59,0.03,12.3,,9.38,0.48,true
L0,,,,20.27,0.02,18.89,0.01,17.93,0.02,16.16,0.09,15.32,0.11,14.9,0.11,14.49,0.03,14.19,0.04,12.86,0.52,9.29,,true
T4.5:,,,,,,20.68,0.07,19.02,0.01,16.46,0.09,16.14,,16.1,,,,,,,,,,true
L8.5,,,,,,20.36,0.02,19.29,0.02,17.16,0.23,16.05,0.19,15.49,0.19,14.58,0.03,14.05,0.04,12.24,,9.27,,true
L0,,,22.07,19.77,0.01,18.24,0.01,17.3,0.01,15.58,0.05,14.82,0.07,14.31,0.07,14.0,0.03,13.69,0.03,12.4,,9.12,,true
L7:,,,,,,19.56,0.02,18.4,0.02,16.3,0.09,15.09,0.08,14.49,0.08,13.85,0.03,13.35,0.03,12.12,0.25,9.09,,true
L5,,,,,,20.58,0.06,19.54,0.04,,,,,,,14.99,0.03,14.82,0.06,12.7,,9.32,,true
L1,,,,19.95,0.01,18.41,0.01,17.42,0.01,15.45,0.06,14.65,0.07,14.18,0.07,13.84,0.03,13.52,0.03,12.7,0.49,9.21,,true
T2pec,,,,,,20.45,0.04,19.17,0.03,17.31,0.07,16.51,0.04,16.01,0.06,14.93,0.03,14.23,0.04,12.8,,9.34,,true
L0,,,,20.77,0.09,19.18,0.03,18.22,0.02,16.44,0.12,15.74,0.13,15.27,0.13,15.13,0.03,14.85,0.05,13.04,,9.22,,true
L0,,,,20.57,0.02,19.12,0.01,18.19,0.01,16.41,0.12,16.13,0.18,15.46,0.18,15.01,0.03,14.71,0.05,12.99,,9.09,,true
L0,,,,20.0,0.01,18.6,0.01,17.73,0.01,15.93,0.08,15.51,0.1,14.77,0.1,14.62,0.03,14.44,0.04,12.63,,8.95,,true
L0,,,22.53,20.76,0.02,19.32,0.01,18.41,0.02,16.49,,15.87,,15.44,,15.0,0.03,14.77,0.06,12.16,,8.8,0.37,true
L1,,,,20.07,0.02,18.44,0.01,17.5,0.01,15.6,0.06,14.91,0.1,14.53,0.1,14.23,0.03,13.96,0.04,12.28,,9.08,,true
L0,,,22.44,20.28,0.02,18.83,0.01,17.94,0.01,16.19,0.08,15.44,0.14,15.0,0.14,14.61,0.03,14.35,0.05,12.73,0.52,9.13,,true
L0:,,,21.09,18.62,0.01,17.18,0.01,16.21,0.01,14.34,0.03,13.53,0.03,13.06,0.03,12.45,0.02,12.2,0.02,11.93,0.17,9.11,,true
L8,,,,20.57,0.04,17.88,0.01,16.69,0.01,14.63,0.05,13.49,0.03,12.85,0.03,12.11,0.03,11.51,0.03,10.52,0.06,9.36,,true
L0,,,22.07,19.93,0.01,18.46,0.01,17.49,0.02,15.56,0.05,14.97,0.1,14.56,0.1,14.05,0.03,13.71,0.03,12.28,,9.06,,true
L0,,,,20.59,0.03,19.09,0.01,18.17,0.01,16.31,0.11,15.89,0.15,15.21,0.15,15.01,0.03,14.61,0.05,12.78,,9.3,,true
L1::,,,,20.37,0.01,18.73,0.01,17.68,0.01,15.38,0.06,14.34,0.04,13.6,0.04,13.06,0.02,12.77,0.02,12.2,0.27,9.46,,true
L1,,,21.86,20.1,0.02,18.65,0.02,17.7,0.02,15.79,0.08,14.92,0.08,14.35,0.08,13.98,0.03,13.72,0.03,12.39,,9.18,,true
L0,,,22.4,20.06,0.02,18.68,0.01,17.71,0.01,15.92,0.07,15.11,0.07,14.61,0.07,14.25,0.03,13.89,0.04,12.21,,9.36,,true
L4,,,,20.9,0.02,19.44,0.01,18.47,0.02,16.85,0.14,15.89,0.19,15.53,0.19,15.18,0.03,15.04,0.07,12.25,,8.89,,true
L1.5,,,21.27,19.12,0.03,17.56,0.01,16.6,0.01,14.64,0.03,13.77,0.04,13.24,0.04,12.81,0.02,12.54,0.02,12.22,0.26,9.15,,true
L1,,,22.57,20.45,0.01,18.96,0.01,18.01,0.02,16.26,0.11,15.4,0.09,14.78,0.09,14.43,0.03,14.2,0.04,12.64,,9.3,,true
L4:,,,,21.35,0.03,19.44,0.02,18.39,0.03,16.39,0.11,15.57,0.19,15.54,0.19,14.77,0.03,14.49,0.05,12.45,,8.9,,true
L0.5,,,20.54,18.22,0.01,16.8,0.01,15.83,0.01,13.89,0.03,13.15,0.03,12.52,0.03,12.18,0.02,11.93,0.02,11.41,0.13,8.93,,true
L4,,,,21.73,0.17,19.91,0.06,18.95,0.06,16.74,0.2,15.74,0.2,15.25,0.2,14.66,0.03,14.45,0.05,12.46,,8.89,,true
T3:,,,,,,20.3,0.03,19.04,0.03,16.73,0.16,15.82,,15.54,,14.85,0.03,13.99,0.03,12.7,0.41,9.32,,true
T7.5,,,,,,,,19.8,0.06,17.63,0.02,17.55,0.02,18.9,0.17,15.99,0.19,12.78,0.04,12.23,0.3,8.97,,true
L6,,,20.42,18.35,0.01,16.3,0.01,15.21,0.01,13.15,0.03,12.46,0.02,12.11,0.02,11.36,0.02,11.03,0.02,10.27,0.06,8.54,,true
L4,,,,21.73,0.05,20.09,0.04,19.07,0.06,16.95,0.17,15.96,0.16,15.6,0.16,14.7,0.03,14.39,0.04,13.14,0.49,9.56,,true
L4,,,,21.68,0.05,20.02,0.03,19.02,0.05,17.01,0.19,15.95,0.14,15.36,0.14,14.59,0.03,14.25,0.04,12.44,,9.35,,true
T5,,,,,,21.0,0.05,19.42,0.04,,,,,,,16.6,0.07,14.73,0.05,12.3,,9.44,,true
L0,,,21.75,19.44,0.01,18.02,0.01,17.1,0.01,15.22,0.05,14.55,0.06,14.21,0.06,13.81,0.03,13.53,0.03,12.58,0.41,9.38,,true
L0,,,21.86,19.42,0.01,18.0,0.01,17.07,0.02,15.24,0.04,14.48,0.05,13.93,0.05,13.64,0.02,13.4,0.03,12.62,,9.56,,true
L1:,,,,20.85,0.03,19.4,0.03,18.41,0.02,16.51,0.13,15.69,0.16,15.26,0.16,14.96,0.03,14.67,0.05,12.5,,9.39,,true
L0,,,,20.18,0.02,18.76,0.01,17.86,0.01,16.11,0.09,15.36,0.14,14.96,0.14,14.7,0.03,14.35,0.04,12.83,,9.31,,true
L1,,,21.92,19.51,0.01,17.92,0.01,16.96,0.01,15.12,0.04,14.52,0.06,14.06,0.06,13.64,0.03,13.36,0.03,12.27,,9.34,,true
L0,,,19.58,17.38,0.01,15.97,0.01,14.98,0.02,13.23,0.02,12.43,0.02,11.94,0.02,11.57,0.02,11.3,0.02,10.23,0.05,8.57,0.25,true
L6.5::,,,,22.08,0.09,20.23,0.03,19.13,0.02,17.06,0.18,16.03,0.17,15.64,0.17,14.96,0.03,14.66,0.05,13.15,,9.45,,true
L0,,,,20.61,0.02,19.11,0.01,18.22,0.01,16.53,0.12,16.1,0.16,15.56,0.16,15.29,0.03,14.92,0.06,12.78,0.43,9.11,,true
L2,,,21.53,19.46,0.01,18.06,0.01,17.09,0.01,15.1,0.05,14.22,0.05,13.65,0.05,13.23,0.02,12.97,0.03,11.99,0.21,9.08,,true
L3,,,,21.6,0.07,20.49,0.04,19.56,0.03,,,,,,,15.45,0.04,15.27,0.08,12.7,0.48,8.96,,true
L4,,,,21.41,0.06,19.87,0.01,18.79,0.04,16.63,0.15,15.96,0.15,15.28,0.13,14.15,0.03,13.96,0.03,12.42,,9.43,,true
L4,,,,,,18.87,0.01,17.88,0.02,15.69,0.08,14.78,0.1,14.17,0.1,,,,,,,,,true
L4.0::,,,,21.27,0.02,19.61,0.02,18.64,0.03,16.62,0.16,15.59,0.09,14.72,0.09,14.29,0.03,14.0,0.04,12.7,,9.12,,true
T0,,,,,,20.83,0.06,19.74,0.04,,,,,,,15.49,0.04,14.91,0.07,12.09,,9.14,,true
L0,,,22.65,20.37,0.02,18.95,0.01,18.07,0.01,16.32,0.12,15.44,0.16,14.99,0.16,14.74,0.03,14.44,0.04,13.08,,9.47,,true
L4,,,21.69,19.64,0.01,18.04,0.01,16.99,0.01,14.78,0.04,13.88,0.03,13.27,0.03,12.66,0.02,12.41,0.02,11.73,0.16,9.18,,true
L0,,,22.01,19.53,0.01,17.98,0.01,17.07,0.01,15.37,0.05,14.52,0.05,14.02,0.05,13.69,0.02,13.36,0.03,12.88,0.43,9.26,,true
L0,,,22.2,19.84,0.01,18.36,0.01,17.47,0.01,15.97,0.08,14.93,0.08,14.53,0.08,14.24,0.03,13.9,0.03,12.59,0.4,9.35,,true
T4.5,,,,,,21.5,0.1,19.49,0.04,,,,,,,16.58,0.06,15.1,0.06,12.34,,9.38,,true
L2,,,21.07,18.73,0.01,17.3,0.01,16.32,0.01,14.27,0.03,13.44,0.03,12.77,0.03,12.32,0.02,12.03,0.02,11.34,0.12,9.1,,true
L0,,,22.73,20.38,0.03,18.93,0.02,17.97,0.01,16.29,0.11,15.38,0.13,14.98,0.13,14.76,0.03,14.39,0.05,12.74,,9.11,0.45,true
L2,,,21.93,19.62,0.02,17.99,0.01,17.04,0.02,15.15,0.04,14.5,0.06,14.13,0.06,13.72,0.03,13.43,0.03,12.82,0.44,9.51,,true
L1,,,22.74,20.04,0.02,18.59,0.01,17.6,0.01,15.59,0.06,14.77,0.05,14.16,0.05,13.85,0.03,13.62,0.03,12.43,,9.1,,true
L4.5,,,,21.82,0.08,20.2,0.04,19.22,0.03,17.12,0.1,16.27,0.23,15.49,0.1,14.88,0.03,14.57,0.06,12.36,,9.31,,true
L1,,,,20.05,0.02,18.62,0.02,17.65,0.01,15.75,0.11,15.05,0.1,14.77,0.1,14.14,0.04,13.92,0.04,12.6,0.42,8.99,,true
T2.5,,,,,,20.78,0.11,19.45,0.04,,,,,,,15.92,0.04,14.83,0.05,12.84,,9.3,,true
L6,,,,21.51,0.08,19.72,0.03,18.73,0.03,16.58,0.12,15.6,0.11,14.83,0.11,14.06,0.03,13.6,0.04,11.92,,9.01,0.4,true
L0,,,,20.3,0.02,18.88,0.02,18.05,0.01,16.48,0.1,15.61,0.18,15.32,0.18,15.11,0.03,14.87,0.06,12.23,,9.34,0.52,true
L3,,,,20.91,0.02,19.45,0.01,18.47,0.01,16.49,0.12,15.66,0.14,15.03,0.14,14.86,0.03,14.57,0.06,12.33,,9.1,,true
T2:,,,,,,20.66,0.05,19.46,0.05,17.14,0.23,16.15,,16.91,,15.32,0.04,14.25,0.04,12.13,,9.14,,true
T8pec,,,,,,21.88,0.11,20.44,0.12,17.52,0.13,17.62,,16.97,,16.89,0.11,14.6,0.06,12.6,0.44,8.95,,true
L5,,,,22.25,0.12,20.53,0.04,19.38,0.04,,,,,,,14.74,0.03,14.36,0.05,12.71,,9.12,,true
L1,,,,22.58,0.16,21.03,0.07,19.7,0.03,,,,,,,15.58,0.04,15.49,0.09,12.31,,9.22,,true
L1,,,,22.37,0.12,20.66,0.03,19.68,0.04,,,,,,,16.11,0.05,15.8,0.14,12.79,,9.07,,true
L5,,,,20.73,0.04,19.17,0.02,18.16,0.01,15.96,0.07,15.1,0.06,14.37,0.06,13.82,0.03,13.56,0.03,12.78,,9.51,,true
L3:,,,,20.23,0.02,18.78,0.01,17.75,0.01,15.49,0.06,14.5,0.05,13.86,0.05,13.3,0.03,12.97,0.03,12.0,0.29,8.95,0.47,true
L0,,,22.85,20.28,0.02,18.85,0.02,17.93,0.01,16.02,0.08,15.17,0.12,14.86,0.12,14.6,0.03,14.41,0.05,12.0,,9.2,,true
L0,,,22.22,19.87,0.02,18.37,0.01,17.4,0.02,15.39,0.04,14.65,0.07,14.09,0.07,13.69,0.03,13.41,0.03,12.45,,8.7,,true
L1,21.74,0.01,19.52,17.13,0.01,15.63,0.01,14.68,0.01,12.76,0.02,12.04,0.02,11.55,0.02,11.2,0.02,10.96,0.02,10.52,0.06,9.45,,true
L1,,,22.72,20.63,0.01,19.19,0.01,18.24,0.02,15.99,0.1,15.67,0.13,14.81,0.13,14.44,0.03,14.22,0.04,12.11,,9.16,,true
L1,,,22.98,20.62,0.02,19.14,0.02,18.14,0.02,16.22,0.1,15.45,0.1,14.54,0.1,14.36,0.03,14.07,0.04,12.92,0.43,9.43,0.5,true
T2.5,,,,,,20.74,0.06,19.4,0.03,17.22,0.23,16.28,,15.88,,15.77,0.04,14.71,0.05,12.93,,9.34,,true
L1,,,22.9,20.45,0.02,18.95,0.01,17.95,0.01,15.95,0.08,15.08,0.09,14.6,0.09,14.12,0.03,13.81,0.04,12.79,,9.15,,true
L3,,,,20.58,0.02,19.09,0.02,18.07,0.01,16.07,0.11,15.41,0.14,14.82,0.14,14.29,0.03,14.03,0.04,12.87,0.52,9.02,,true
L1,,,,19.83,0.03,18.3,0.01,17.34,0.02,15.38,0.05,14.72,0.07,14.25,0.07,13.94,0.03,13.74,0.04,12.63,0.43,8.86,,true
L2(blue),,,,20.69,0.02,19.11,0.01,18.11,0.01,15.87,0.08,15.39,0.1,14.84,0.11,14.34,0.03,13.92,0.04,12.88,,9.36,,true
L1:,,,,21.39,0.01,19.76,0.04,18.76,0.01,16.94,0.18,16.17,0.13,15.4,0.13,15.2,0.03,14.98,0.05,13.01,,9.32,,true
L3,,,,21.74,0.09,20.26,0.04,19.22,0.03,16.61,,16.22,0.16,14.92,0.16,14.62,0.03,14.3,0.04,13.05,,9.44,,true
L0.5,,,20.8,18.41,0.01,16.99,0.01,16.01,0.01,14.02,0.03,13.19,0.03,12.66,0.03,12.34,0.02,12.11,0.02,12.11,0.34,9.16,,true
L1:,,,,,,20.23,0.03,19.28,0.06,,,,,,,15.92,0.05,15.54,0.1,12.67,,9.27,,true
L5,,,,22.42,0.1,20.66,0.03,19.61,0.04,,,,,,,15.21,0.03,14.93,0.06,12.81,,9.17,,true
L6,,,,20.76,0.02,18.95,0.01,17.89,0.02,15.89,0.08,14.51,0.05,13.94,0.05,13.27,0.02,12.94,0.03,12.36,0.38,9.18,,true
L0,,,23.25,20.86,0.02,19.38,0.01,18.39,0.01,16.42,0.14,15.97,0.15,15.15,0.15,14.92,0.03,14.57,0.05,12.3,,8.95,0.31,true
L0,,,,19.95,0.02,18.46,0.01,17.52,0.01,15.77,0.09,15.0,0.11,14.58,0.11,14.23,0.03,13.93,0.04,12.87,,9.1,,true
L2:,,,,,,20.71,0.1,19.71,0.03,,,,,,,15.95,0.05,15.62,0.11,12.69,,9.18,0.44,true
L4:,,,21.66,19.61,0.01,17.84,0.01,16.8,0.01,14.56,0.03,13.43,0.03,12.68,0.03,11.91,0.02,11.5,0.02,10.83,0.09,8.81,,true
L0,,,22.21,19.82,0.01,18.32,0.01,17.3,0.01,15.31,,14.47,,14.03,,13.67,0.03,13.4,0.03,12.32,0.26,9.25,,true
T5pec,,,,,,21.47,0.08,19.99,0.05,17.96,,17.32,,16.64,,17.07,0.09,14.86,0.06,12.74,0.45,9.39,,true
L0,,,,20.67,0.02,19.19,0.02,18.45,0.02,16.88,0.18,16.46,0.23,15.83,0.23,15.64,0.04,15.42,0.08,12.46,,9.32,,true
L0,,,22.58,19.9,0.02,18.46,0.01,17.58,0.01,15.82,0.08,15.0,0.09,14.31,0.09,14.18,0.03,13.93,0.03,12.58,0.32,9.2,,true
L0,,,,20.57,0.03,19.11,0.02,18.23,0.01,16.33,0.11,15.88,0.2,15.4,0.2,15.0,0.03,14.62,0.05,12.4,,8.81,,true
L0,23.1,0.16,21.27,18.74,0.01,17.27,0.01,16.29,0.01,14.46,0.03,13.72,0.04,13.35,0.04,12.86,0.02,12.51,0.02,11.79,0.15,9.02,,true
L0,,,,20.58,0.02,19.15,0.02,18.29,0.01,16.52,0.1,15.84,0.12,15.23,0.12,15.04,0.03,14.81,0.05,12.72,,9.09,,true
L0,,,21.95,19.66,0.02,18.16,0.01,17.24,0.01,15.42,0.07,14.77,0.09,14.25,0.09,14.0,0.03,13.62,0.03,12.32,,8.9,,true
L2.9,,,,20.15,0.03,18.65,0.01,17.65,0.02,15.52,0.07,14.85,0.1,14.34,0.1,13.92,0.03,13.62,0.03,12.44,,9.46,,true
L0,,,,,,21.28,0.06,20.15,0.09,,,,,,,16.01,0.05,15.86,0.14,12.48,,8.83,,true
L0,,,21.7,19.21,0.02,17.58,0.01,16.66,0.01,14.92,0.04,14.36,0.06,14.08,0.06,13.6,0.03,13.32,0.03,12.54,,9.57,,true
L1,,,21.72,19.66,0.01,18.09,0.01,17.09,0.02,15.07,0.04,14.4,0.04,13.89,0.04,13.5,0.02,13.16,0.03,12.54,,9.2,,true
L1,,,21.57,19.68,0.02,18.21,0.01,17.21,0.01,15.14,0.05,14.53,0.06,13.87,0.06,13.42,0.02,13.15,0.03,12.48,0.27,9.36,,true
L2,,,,22.05,0.06,20.71,0.06,19.77,0.04,,,,,,,15.58,0.04,15.14,0.09,12.44,,9.15,,true
L3,,,22.63,20.55,0.04,19.07,0.01,18.12,0.01,16.28,0.11,15.2,0.1,14.6,0.1,14.17,0.03,13.9,0.04,12.33,,8.59,,true
L2.5,,,,20.48,0.02,19.02,0.02,18.09,0.03,16.01,0.09,15.05,0.08,14.36,0.08,13.88,0.03,13.59,0.04,12.43,0.37,9.32,,true
T7,,,,,,,,19.73,0.09,16.83,0.17,16.64,0.29,16.7,,16.66,0.06,14.42,0.04,13.07,0.51,9.52,,true
T7.5,,,,,,19.83,0.04,17.98,0.03,15.32,0.05,15.27,0.16,15.24,0.16,14.93,0.04,12.13,0.02,10.78,0.09,9.05,,true
T7,,,,,,21.89,0.1,20.04,0.11,,,,,,,16.62,0.06,14.65,0.04,12.64,0.41,9.27,,true
T2,,,,,,21.96,0.11,20.9,0.12,,,,,,,15.94,0.05,15.21,0.08,12.36,0.32,9.29,,true
L7,,,,22.77,0.19,21.18,0.13,19.87,0.06,17.12,0.25,16.26,0.19,15.24,0.19,,,,,,,,,true
L4.5,,,,20.99,0.03,19.29,0.04,18.31,0.02,16.08,0.09,14.95,0.09,14.26,0.09,13.53,0.03,13.16,0.03,11.94,0.22,9.29,,true
L0,,,,20.71,0.02,19.21,0.01,18.27,0.03,16.47,0.13,15.54,0.18,15.28,0.18,14.97,0.03,14.73,0.05,13.03,,9.01,,true
L1,,,,20.78,0.06,19.16,0.05,18.25,0.02,16.35,0.12,16.08,0.21,15.39,0.21,14.99,0.03,14.85,0.05,12.95,,9.57,,true
L2,,,,20.62,0.02,19.15,0.02,18.22,0.02,16.3,0.1,15.4,0.09,14.79,0.09,14.51,0.03,14.25,0.04,12.68,,9.35,,true
T5,,,,21.69,0.08,18.2,0.02,16.46,0.01,13.94,0.02,13.86,0.06,13.96,0.06,13.44,0.02,11.72,0.02,10.71,0.07,9.36,,true
T7,,,,,,21.02,0.04,19.38,0.02,17.03,0.23,16.91,,17.02,,16.22,0.06,14.06,0.04,12.6,0.41,9.41,,true
T6:pec,,,,,,,,19.4,0.05,,,,,,,16.0,0.05,14.23,0.04,12.23,,9.25,,true
T1.5,,,,,,19.41,0.02,18.02,0.02,15.83,0.07,15.24,0.13,15.06,0.13,14.04,0.03,13.26,0.03,11.92,0.34,8.46,,true
L2:,,,,22.21,0.09,20.8,0.03,19.6,0.05,,,,,,,15.71,0.05,15.64,0.12,12.9,,9.37,,true
L0,22.28,0.16,20.82,18.32,0.01,17.11,0.01,16.39,0.01,14.76,0.03,14.16,0.05,13.77,0.05,13.52,0.02,13.3,0.03,12.63,0.31,9.59,,true
T6,,,,,,18.14,0.13,16.31,0.01,14.33,0.1,14.15,0.2,14.05,0.14,13.4,0.02,11.28,0.02,10.19,0.04,8.86,,true
L3,,,20.27,18.02,0.01,16.49,0.01,15.51,0.01,13.37,0.02,12.38,0.02,11.74,0.02,11.19,0.02,10.87,0.02,10.49,0.06,8.94,,true
L5,,,19.95,17.87,0.01,16.0,0.01,14.97,0.01,12.83,0.03,11.9,0.03,11.31,0.03,10.67,0.02,10.37,0.02,9.69,0.05,8.41,,true
L2,,,,22.07,0.13,20.61,0.04,19.74,0.03,17.35,0.23,16.03,0.23,15.36,0.23,14.6,0.03,14.21,0.05,12.62,,9.25,,true
L5.8,,,,21.44,0.09,19.7,0.03,18.69,0.03,16.6,0.15,15.47,0.13,14.7,0.13,13.96,0.03,13.61,0.03,13.09,,9.15,,true
T2,,,,21.62,0.06,19.75,0.04,18.47,0.02,16.02,0.08,14.96,0.1,14.54,0.1,13.67,0.03,13.22,0.03,12.83,0.51,9.27,,true
L1,,,,20.74,0.02,19.26,0.03,18.27,0.02,16.29,0.1,15.62,0.12,14.95,0.12,14.62,0.03,14.31,0.04,13.2,,9.61,,true
L0,,,,21.89,0.1,20.55,0.03,19.52,0.05,,,,,,,15.97,0.05,15.65,0.16,11.96,,8.69,,true
L3,,,21.8,19.4,0.01,18.03,0.01,17.12,0.01,15.04,0.04,14.05,0.04,13.41,0.04,12.97,0.02,12.73,0.02,12.28,0.23,8.91,,true
L8,,,,22.38,0.16,20.57,0.06,19.39,0.05,17.08,0.09,16.15,0.07,15.22,0.1,14.39,0.03,13.86,0.03,12.63,0.32,9.63,,true
L1,,,,21.46,0.04,19.86,0.01,18.88,0.02,16.74,,15.92,,15.29,,15.16,0.04,14.98,0.09,12.41,,8.99,,true
L1:,,,,21.68,0.08,19.87,0.05,18.74,0.03,16.79,0.19,15.95,0.17,15.31,0.17,14.82,0.03,14.22,0.05,11.83,,8.9,,true
L6,,,21.47,19.37,0.02,17.12,0.03,16.14,0.01,14.11,0.03,13.1,0.02,12.5,0.02,11.73,0.02,11.33,0.02,10.46,0.05,9.09,,true
L7.5:,,,,,,19.81,0.04,18.82,0.04,16.58,0.15,15.64,0.14,14.76,0.14,13.99,0.03,13.52,0.03,12.5,0.27,9.56,,true
L1,,,22.92,20.63,0.02,19.16,0.02,18.16,0.02,16.27,0.08,15.17,0.06,14.65,0.06,14.41,0.03,14.14,0.04,13.16,,9.51,,true
L0,,,22.51,20.25,0.02,18.83,0.02,17.89,0.01,16.22,0.07,15.57,0.08,14.96,0.08,14.8,0.03,14.43,0.04,12.89,,8.78,,true
T0:,,,,,,20.24,0.03,19.17,0.02,17.23,0.2,16.0,0.18,15.43,0.18,14.65,0.03,14.09,0.05,12.38,,9.33,,true
T0.5:,,,,,,20.49,0.04,19.21,0.04,16.85,0.15,15.87,0.09,15.08,0.09,14.14,0.03,13.4,0.03,12.09,0.2,9.42,,true
L5:,,,,,,20.65,0.05,19.57,0.05,,,,,,,15.67,0.05,15.43,0.11,13.05,,9.17,,true
L0:,,,,21.7,0.14,20.19,0.03,18.97,0.02,16.46,0.13,15.98,0.15,15.18,0.15,14.73,0.04,14.37,0.06,12.34,,8.98,,true
T2.5,,,,,,22.06,0.2,20.64,0.07,,,,,,,,,,,,,,,true
L5,,,,,,20.57,0.04,19.63,0.07,,,,,,,14.81,0.03,14.55,0.06,12.68,,9.28,,true
T0:,,,,21.44,0.1,18.81,0.05,17.65,0.02,15.54,0.06,14.58,0.05,14.0,0.05,13.44,0.02,12.92,0.03,12.0,0.19,9.17,,true
T3,,,,,,20.31,0.04,18.61,0.02,16.4,0.1,15.58,0.17,15.35,0.17,14.91,0.03,13.94,0.04,12.23,0.26,9.15,,true
T6.5pec,,,,,,,,20.88,0.09,,,,,,,17.66,0.17,14.39,0.04,12.88,,9.41,,true
L2.5,,,20.95,18.4,0.01,16.9,0.01,15.99,0.01,14.2,0.03,13.42,0.03,12.9,0.03,12.31,0.02,11.97,0.02,11.58,0.26,8.56,,true
L0,,,22.81,20.46,0.04,18.94,0.01,17.96,0.01,16.09,0.1,15.15,0.12,14.82,0.12,14.18,0.03,13.94,0.04,12.57,,9.31,,true
L8,,,,21.5,0.15,19.35,0.02,18.31,0.03,16.06,0.1,14.93,0.07,14.35,0.07,13.55,0.02,13.03,0.03,11.91,0.18,9.04,,true
T2:,,,,,,20.89,0.05,19.59,0.04,,,,,,,15.26,0.04,14.54,0.06,12.34,,9.05,,true
T2.5,,,,,,,,20.25,0.14,,,,,,,16.84,0.1,15.95,0.18,12.51,,9.11,,true
L1,,,22.16,19.76,0.01,18.28,0.01,17.31,0.01,15.51,0.05,14.61,0.05,14.02,0.05,13.74,0.03,13.5,0.03,13.15,,9.47,,true
L6.5:,,,,22.01,0.08,20.37,0.03,19.34,0.06,17.06,0.19,15.83,0.19,15.55,0.19,14.94,0.03,14.54,0.04,12.82,,9.5,,true
L7,,,,20.67,0.06,18.57,0.01,17.58,0.01,15.59,0.06,14.5,0.05,13.92,0.05,13.17,0.03,12.82,0.03,12.3,0.26,9.4,,true
L1,,,,20.27,0.03,18.85,0.01,17.87,0.03,15.92,0.1,15.45,0.1,14.47,0.1,14.15,0.03,14.03,0.04,12.49,,9.3,,true
T4,,,,,,21.98,0.14,20.57,0.07,,,,,,,18.28,,16.31,0.21,12.75,,9.21,,true
L0:VL-G,,,,20.73,0.02,19.1,0.02,18.06,0.02,15.96,0.08,15.21,0.1,14.62,0.1,14.18,0.03,13.79,0.04,12.55,,8.99,,true
L0:VL-G,,,,20.4,0.06,18.81,0.02,17.71,0.01,15.77,0.09,14.83,0.08,14.33,0.08,13.88,0.03,13.43,0.03,11.79,,8.35,,true
L0:,,,,20.33,0.03,18.86,0.02,17.9,0.02,16.33,0.12,15.34,0.1,14.72,0.1,14.54,0.03,14.26,0.03,13.23,0.49,9.62,,true
L0,22.92,0.18,21.53,19.2,0.01,17.74,0.01,16.81,0.01,15.05,0.04,14.31,0.05,13.74,0.05,13.46,0.02,13.17,0.03,13.02,0.38,9.15,,true
L0,,,22.58,20.18,0.02,18.75,0.01,17.74,0.02,16.05,0.1,15.06,0.11,14.4,0.11,14.15,0.03,13.93,0.04,12.28,,9.06,,true
L1,,,22.45,20.02,0.01,18.7,0.01,17.8,0.01,15.58,0.06,14.54,0.05,13.8,0.05,13.29,0.02,12.89,0.03,12.17,0.24,9.18,0.45,true
L0,,,,20.76,0.05,19.28,0.02,18.35,0.04,,,,,,,15.21,0.03,14.99,0.06,12.96,,9.54,,true
L4::,,,,21.4,0.04,19.71,0.03,18.69,0.01,16.39,0.14,15.75,,15.87,,15.03,0.03,14.65,0.06,12.82,,8.91,,true
L4,,,,22.32,0.09,20.56,0.03,19.55,0.06,17.37,0.23,16.02,0.2,15.64,0.2,15.18,0.04,14.9,0.08,12.22,,8.47,,true
L1,,,,20.75,0.02,19.08,0.03,18.13,0.01,16.12,0.1,15.33,0.12,14.9,0.12,14.44,0.03,14.19,0.04,12.99,0.51,9.46,,true
L4.5,,,,,,20.97,0.15,19.82,0.04,,,,,,,15.42,0.04,14.89,0.07,12.14,,8.59,,true
L0,,,,21.47,0.04,19.97,0.02,19.06,0.03,16.92,0.17,16.42,0.22,15.6,0.22,15.58,0.04,15.36,0.11,12.76,,9.04,,true
T3.5,,,,,,20.74,0.11,19.28,0.02,16.75,0.13,16.08,,16.41,,15.39,0.04,14.41,0.05,12.42,,9.56,,true
