SpT,PS1gmag,e_PS1gmag,PS1rmag,PS1imag,e_PS1imag,PS1zmag,e_PS1zmag,PS1ymag,e_PS1ymag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,label
L0.5,,,21.44,18.95,0.01,17.45,0.01,16.46,0.01,14.59,0.04,13.98,,13.18,,13.1,0.03,12.85,0.03,12.56,0.46,9.05,0.52,true
L7,,,,21.67,0.17,19.77,0.03,18.83,0.02,16.28,0.11,15.27,0.1,14.48,0.1,13.68,0.03,13.33,0.03,12.01,,8.91,,true
L2,,,22.25,19.98,0.01,18.52,0.01,17.54,0.01,15.48,0.05,14.62,0.05,14.03,0.05,13.49,0.03,13.13,0.03,12.18,0.32,9.24,,true
L9,,,,21.36,0.19,18.21,0.01,17.0,0.01,14.95,0.04,13.78,0.03,13.22,0.03,12.42,0.02,11.84,0.02,10.96,0.07,9.6,,true
L9,,,,22.0,0.09,19.59,0.01,18.59,0.02,16.45,0.13,15.43,0.08,14.49,0.08,13.76,0.03,13.25,0.03,12.2,0.35,8.78,,true
L1.5,,,20.88,18.67,0.01,17.3,0.01,16.34,0.01,14.32,0.03,13.39,0.03,12.8,0.03,12.46,0.02,12.22,0.03,11.97,0.4,8.73,,true
L1,,,21.69,19.67,0.01,18.2,0.01,17.19,0.01,15.39,0.05,14.51,0.05,13.96,0.05,13.69,0.03,13.44,0.03,12.71,0.54,8.88,,true
L9,,,,,,20.04,0.04,18.82,0.04,16.83,0.17,15.65,0.11,14.95,0.11,14.29,0.03,13.73,0.04,11.69,,8.48,,true
L4beta,,,21.77,19.83,0.01,18.4,0.01,17.47,0.02,15.29,0.06,14.21,0.04,13.41,0.04,12.82,0.02,12.5,0.03,11.85,0.31,9.03,,true
L3(blue),,,,20.92,0.03,19.04,0.03,17.89,0.01,15.89,0.07,14.99,0.07,14.8,0.09,13.9,0.03,13.53,0.03,12.26,0.39,8.91,,true
T6.5,,,,,,19.98,0.02,18.1,0.01,15.54,0.05,15.44,,16.24,,15.09,0.04,12.55,0.03,11.78,0.31,8.87,,true
L3,,,,20.43,0.02,18.8,0.01,17.79,0.02,15.53,0.06,14.57,0.07,13.94,0.07,13.29,0.03,12.93,0.03,11.75,0.27,8.65,,true
